,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-40,+2,-36,-33,+10,+11
1,Anderson County,-35,+8%,Not,-28,+9%,+12
2,Bedford County,-24,+7%,Not,-34,+19,Not
3,Benton County,-66,+83,-35,-32,Not,Not
4,Bledsoe County,-7%,+18,Not,-48,Not,Not
5,Blount County,-33,+8%,-78,-37,+9%,+65
6,Bradley County,-37,+6%,-30,-34,+9%,Not
7,Campbell County,-14,+0%,-37,-22,+12,+4%
8,Cannon County,+0%,+12,Not,-34,Not,Not
9,Carroll County,-37,+4%,Not,-25,+4%,Not
10,Carter County,-21,+14,Not,-27,+18,+16
11,Cheatham County,-43,+66,-34,-32,+18,Not
12,Chester County,-19,-4%,Not,-21,Not,Not
13,Claiborne County,-32,+46,Not,-27,-2%,Not
14,Clay County,Not,Not,Not,-44,Not,Not
15,Cocke County,-20,+21,-20,-42,+12,+2%
16,Coffee County,-32,+3%,-59,-32,+19,Not
17,Crockett County,-34,+4%,Not,-31,Not,Not
18,Cumberland County,-29,-7%,-31,-31,+16,Not
19,Davidson County,-51,-10,-62,-41,+13,-44
20,DeKalb County,-12,+18,Not,-34,Not,Not
21,Decatur County,-20,+22,Not,-44,Not,Not
22,Dickson County,-36,+0%,-32,-30,+20,Not
23,Dyer County,-30,-4%,-23,-23,+10,Not
24,Fayette County,-17,+52,-42,-26,+9%,Not
25,Fentress County,-26,+1%,Not,-9%,Not,Not
26,Franklin County,-16,+14,Not,-36,+15,Not
27,Gibson County,-19,+20,Not,-30,+19,Not
28,Giles County,-21,+13,-52,-27,+8%,Not
29,Grainger County,-39,+4%,Not,-26,Not,Not
30,Greene County,-29,+0%,-17,-26,+7%,Not
31,Grundy County,-66,-12,Not,-44,Not,Not
32,Hamblen County,-36,+4%,Not,-33,+18,Not
33,Hamilton County,-48,-2%,-32,-36,+12,-25
34,Hancock County,Not,Not,Not,-55,Not,Not
35,Hardeman County,-36,-2%,Not,-37,Not,Not
36,Hardin County,-29,+9%,Not,-23,Not,Not
37,Hawkins County,-18,+17,Not,-19,+18,Not
38,Haywood County,-25,+4%,Not,-26,Not,Not
39,Henderson County,-26,+11,Not,-33,-1%,Not
40,Henry County,-34,+9%,Not,-26,+13,Not
41,Hickman County,-32,+5%,Not,-27,-3%,Not
42,Houston County,-70,-6%,Not,-53,Not,Not
43,Humphreys County,-29,-5%,Not,-31,Not,Not
44,Jackson County,Not,+2%,Not,-53,Not,Not
45,Jefferson County,-22,+13,-35,-36,+18,Not
46,Johnson County,-22,+0%,Not,-20,Not,Not
47,Knox County,-44,-2%,-32,-36,+10,+11
48,Lauderdale County,-20,+19,Not,-27,Not,Not
49,Lawrence County,-34,+4%,Not,-26,+13,Not
50,Lewis County,-20,+17,Not,-50,Not,Not
51,Lincoln County,-24,+10,Not,-20,+7%,Not
52,Loudon County,-24,+10,-31,-28,+17,Not
53,Macon County,-32,-4%,Not,-23,Not,Not
54,Madison County,-48,-13,-44,-37,+11,-51
55,Marion County,-31,-14,-28,-32,+0%,+10
56,Marshall County,-16,+6%,-47,-32,+17,Not
57,Maury County,-40,-2%,-34,-36,+10,-33
58,McMinn County,-33,+9%,-53,-32,+18,Not
59,McNairy County,-23,+5%,-26,-20,Not,Not
60,Meigs County,-25,+32,Not,-37,Not,Not
61,Monroe County,-24,+40,Not,-30,+15,Not
62,Montgomery County,-38,+3%,-24,-33,+10,+58
63,Moore County,Not,Not,Not,-52,Not,Not
64,Morgan County,+7%,+3%,Not,-21,Not,Not
65,Obion County,-33,+13,Not,-28,+6%,Not
66,Overton County,-23,+0%,Not,-25,Not,Not
67,Perry County,-59,Not,Not,-50,Not,Not
68,Polk County,-41,+2%,Not,-31,Not,Not
69,Putnam County,-44,-10,-29,-28,+7%,Not
70,Rhea County,-19,+8%,Not,-28,+11,Not
71,Roane County,-25,+10,Not,-27,+17,-24
72,Robertson County,-22,+16,-27,-34,+21,Not
73,Rutherford County,-40,-2%,-21,-34,+11,+72
74,Scott County,-28,+9%,Not,-19,Not,Not
75,Sequatchie County,-35,+7%,Not,-25,Not,Not
76,Sevier County,-72,-27,Not,-57,+13,-70
77,Shelby County,-38,+4%,-20,-29,+11,-45
78,Smith County,-30,+22,-26,-18,Not,Not
79,Stewart County,-23,+15,Not,-49,Not,Not
80,Sullivan County,-37,+2%,-41,-28,+8%,+41
81,Sumner County,-40,+1%,Not,-35,+11,+91
82,Tipton County,-23,+22,Not,-21,+20,Not
83,Trousdale County,-37,+11,Not,-52,Not,Not
84,Unicoi County,-25,+16,Not,-28,Not,Not
85,Union County,+9%,+0%,Not,-25,Not,Not
86,Van Buren County,Not,Not,Not,-58,Not,Not
87,Warren County,-18,+21,Not,-24,+14,Not
88,Washington County,-50,-5%,-23,-33,+9%,+38
89,Wayne County,-29,+16,Not,-50,Not,Not
90,Weakley County,-40,+2%,Not,-28,+7%,Not
91,White County,-33,+19,Not,-19,-1%,Not
92,Williamson County,-51,-8%,-39,-37,+13,+47
93,Wilson County,-42,+2%,-28,-37,+10,+22
