,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-45,-14,-49,-38,+16,-54
1,Anderson County,-35,-2%,Not,-24,+16,Not
2,Andrews County,-45,-40,-13,-36,Not,Not
3,Angelina County,-46,-4%,-38,-29,+13,-20
4,Aransas County,-45,-31,Not,-27,+10,-57
5,Archer County,Not,Not,Not,-42,Not,Not
6,Atascosa County,-22,-4%,-50,-25,+22,Not
7,Austin County,-33,-22,Not,-29,+1%,Not
8,Bailey County,-24,-8%,Not,-35,Not,Not
9,Bandera County,-45,-5%,Not,-30,Not,-71
10,Bastrop County,-37,-21,Not,-36,+16,-66
11,Bee County,-31,-8%,Not,-26,-1%,Not
12,Bell County,-37,-18,-43,-34,+13,-25
13,Bexar County,-45,-10,-43,-41,+16,-73
14,Blanco County,-67,-20,Not,-35,Not,-71
15,Bosque County,-37,-7%,Not,-16,Not,Not
16,Bowie County,-47,-12,-39,-30,+13,-29
17,Brazoria County,-36,-8%,-28,-32,+15,-23
18,Brazos County,-47,-21,-64,-35,+15,-30
19,Brewster County,-52,-43,Not,-50,Not,Not
20,Brooks County,-55,-9%,-55,-44,Not,Not
21,Brown County,-37,-6%,Not,-23,+16,Not
22,Burleson County,-34,-10,Not,-29,Not,Not
23,Burnet County,-36,-14,Not,-32,+17,-62
24,Caldwell County,-36,-31,-32,-33,+23,Not
25,Calhoun County,-39,-17,Not,-20,Not,-38
26,Callahan County,-30,-15,-33,-20,Not,Not
27,Cameron County,-62,-35,-71,-42,+22,-74
28,Camp County,-32,-9%,Not,-35,Not,Not
29,Carson County,Not,-24,-23,-52,Not,Not
30,Cass County,-36,-3%,-28,-26,+6%,Not
31,Castro County,Not,-20,Not,-31,Not,Not
32,Chambers County,-43,-2%,-56,-35,+20,-55
33,Cherokee County,-21,+1%,Not,-29,+17,Not
34,Childress County,-36,-20,-26,-41,Not,Not
35,Clay County,-51,Not,-35,-38,Not,Not
36,Coke County,Not,-30,Not,Not,Not,Not
37,Coleman County,-48,-19,Not,-35,Not,Not
38,Collin County,-52,-27,-40,-44,+19,-44
39,Colorado County,-44,-11,-49,-15,Not,Not
40,Comal County,-49,-22,-33,-38,+16,-70
41,Comanche County,-28,-29,Not,-40,Not,Not
42,Cooke County,-42,+0%,-47,-31,+15,-38
43,Coryell County,-32,+0%,Not,-32,+13,-14
44,Crane County,-63,-20,Not,-53,Not,Not
45,Crockett County,-50,-24,Not,Not,Not,Not
46,Crosby County,Not,-24,Not,-52,Not,Not
47,Culberson County,-54,Not,-43,Not,Not,Not
48,Dallam County,-38,-21,Not,-28,Not,Not
49,Dallas County,-47,-14,-48,-42,+18,-56
50,Dawson County,-35,-9%,Not,-36,Not,Not
51,DeWitt County,-38,-27,Not,-25,Not,Not
52,Deaf Smith County,-26,-14,-41,-39,Not,Not
53,Delta County,Not,Not,Not,-42,Not,Not
54,Denton County,-48,-22,-45,-43,+19,-40
55,Dimmit County,-31,-24,-38,-49,Not,Not
56,Donley County,Not,Not,-4%,Not,Not,Not
57,Duval County,-46,-30,Not,-53,Not,Not
58,Eastland County,-42,-12,-38,-14,Not,Not
59,Ector County,-44,-9%,-23,-33,+16,Not
60,El Paso County,-51,-14,-45,-42,+19,-78
61,Ellis County,-39,-3%,-43,-36,+17,-42
62,Erath County,-43,-34,Not,-24,+10,Not
63,Falls County,-16,-10,Not,-20,Not,Not
64,Fannin County,-23,-2%,Not,-23,+11,Not
65,Fayette County,-52,-24,-45,-29,Not,Not
66,Floyd County,Not,Not,Not,-38,Not,Not
67,Fort Bend County,-46,-13,-34,-40,+18,-27
68,Franklin County,-43,-2%,-40,-41,Not,Not
69,Freestone County,-54,-13,-51,-22,Not,Not
70,Frio County,-25,-30,-52,-22,Not,Not
71,Gaines County,-33,-8%,Not,-17,Not,Not
72,Galveston County,-43,-2%,-54,-37,+15,-53
73,Garza County,-40,-28,Not,Not,Not,Not
74,Gillespie County,-63,-32,Not,-37,Not,-78
75,Goliad County,-54,-54,Not,-43,Not,Not
76,Gonzales County,-32,-24,Not,-23,Not,-50
77,Gray County,-47,-27,Not,-32,Not,Not
78,Grayson County,-43,-11,Not,-33,+15,-35
79,Gregg County,-46,-11,Not,-32,+14,-30
80,Grimes County,-28,-5%,Not,-29,+0%,Not
81,Guadalupe County,-40,-12,-47,-38,+16,-42
82,Hale County,-23,+12,Not,-25,+11,Not
83,Hall County,Not,Not,-20,Not,Not,Not
84,Hamilton County,-54,-35,Not,-37,Not,Not
85,Hardeman County,Not,-24,-21,Not,Not,Not
86,Hardin County,-30,+5%,Not,-31,+23,Not
87,Harris County,-44,-13,-56,-40,+17,-62
88,Harrison County,-35,+8%,Not,-38,+20,-46
89,Hartley County,Not,+6%,Not,Not,Not,Not
90,Haskell County,-44,-34,Not,Not,Not,Not
91,Hays County,-48,-15,-31,-37,+17,-44
92,Henderson County,-33,+7%,Not,-28,+13,-29
93,Hidalgo County,-57,-30,-61,-40,+21,-73
94,Hill County,-38,-8%,-46,-27,+14,-42
95,Hockley County,-33,-22,Not,-21,-3%,Not
96,Hood County,-40,+32,Not,-29,+17,-60
97,Hopkins County,-36,+0%,-41,-21,+12,Not
98,Houston County,-30,+4%,Not,-19,Not,Not
99,Howard County,-34,-17,-44,-35,+15,Not
100,Hunt County,-36,-12,-35,-31,+14,-36
101,Hutchinson County,-31,-17,Not,-19,Not,Not
102,Jack County,-67,Not,Not,-43,Not,Not
103,Jackson County,-35,-16,-51,-23,Not,Not
104,Jasper County,-24,+0%,Not,-21,+6%,+15
105,Jefferson County,-45,-5%,-39,-33,+15,-20
106,Jim Hogg County,Not,-47,Not,Not,Not,Not
107,Jim Wells County,-28,-1%,Not,-31,+15,Not
108,Johnson County,-35,-12,Not,-34,+15,-28
109,Jones County,-33,-11,Not,-20,Not,Not
110,Karnes County,-23,-22,-51,-14,Not,Not
111,Kaufman County,-40,-14,-34,-34,+17,-49
112,Kendall County,-45,-19,-43,-38,+14,-56
113,Kerr County,-39,-14,Not,-28,+18,-45
114,Kimble County,-51,Not,-30,Not,Not,Not
115,Kleberg County,-40,-27,-45,-31,+16,-73
116,La Salle County,-65,-26,-58,Not,Not,Not
117,Lamar County,-38,-8%,-43,-22,+16,Not
118,Lamb County,-19,-11,Not,-22,Not,Not
119,Lampasas County,-42,-31,Not,-30,Not,Not
120,Lavaca County,-35,-16,Not,-26,Not,Not
121,Lee County,-42,-41,Not,-27,Not,Not
122,Leon County,-71,-40,-47,-17,Not,-33
123,Liberty County,-27,+10,-27,-33,+14,Not
124,Limestone County,-36,-23,Not,-25,Not,Not
125,Live Oak County,-73,-36,-59,-34,Not,Not
126,Llano County,-38,-24,Not,-28,Not,-24
127,Loving County,Not,-49,Not,Not,Not,Not
128,Lubbock County,-41,-3%,-31,-33,+12,+34
129,Lynn County,Not,Not,Not,-49,Not,Not
130,Madison County,-43,-59,Not,-24,Not,Not
131,Marion County,-45,-4%,Not,-39,Not,Not
132,Martin County,-33,-14,Not,-50,Not,Not
133,Matagorda County,-35,-10,Not,-21,+14,-57
134,Maverick County,-57,-33,-75,-34,+27,-90
135,McCulloch County,-37,-22,Not,-39,Not,Not
136,McLennan County,-46,-14,-42,-36,+14,-31
137,McMullen County,Not,Not,-65,Not,Not,Not
138,Medina County,-21,+5%,-42,-33,+23,-59
139,Midland County,-50,-15,-36,-32,+16,-43
140,Milam County,-39,-20,Not,-31,Not,Not
141,Mitchell County,-50,-23,Not,-33,Not,-70
142,Montague County,-18,-33,Not,-24,Not,Not
143,Montgomery County,-44,-7%,-41,-38,+15,-33
144,Moore County,-33,-17,-29,+12,-1%,Not
145,Morris County,-32,-10,Not,-20,Not,Not
146,Nacogdoches County,-42,-12,-45,-30,+22,-3%
147,Navarro County,-49,+27,-58,-34,+19,-36
