,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-42,-4,-43,-34,+12,+28
1,Beaver County,-63,Not,-24,-32,Not,Not
2,Box Elder County,-23,-7%,-17,-22,+16,+13
3,Cache County,-36,+9%,+8%,-30,+11,+47
4,Carbon County,-26,-13,Not,-24,Not,Not
5,Davis County,-39,+2%,-18,-33,+12,+24
6,Duchesne County,-25,+12,Not,-22,Not,Not
7,Emery County,-55,+2%,Not,-45,Not,Not
8,Garfield County,Not,Not,Not,Not,Not,-4%
9,Grand County,-54,-2%,Not,-29,Not,-20
10,Iron County,-36,-13,-22,-32,+15,Not
11,Juab County,-25,-15,-29,-28,Not,Not
12,Kane County,-31,-15,Not,-39,Not,-10
13,Millard County,-16,+67,Not,-2%,Not,Not
14,Morgan County,-68,-2%,Not,-52,Not,Not
15,Salt Lake County,-48,-7%,-60,-35,+13,+14
16,San Juan County,-35,+34,Not,-50,Not,-30
17,Sanpete County,-9%,-7%,Not,-16,Not,Not
18,Sevier County,-23,+2%,+12,-14,Not,Not
19,Summit County,-80,-59,-65,-70,+6%,-48
20,Tooele County,-18,+31,-13,-32,+16,Not
21,Uintah County,-31,+1%,Not,-35,+5%,+0%
22,Utah County,-40,-4%,-3%,-37,+12,+94
23,Wasatch County,-49,-32,Not,-54,+4%,+20
24,Washington County,-38,-3%,-22,-31,+9%,-9%
25,Weber County,-36,-7%,-16,-27,+11,+57
