,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-54,-23,-64,-44,+15,-4
1,Addison County,-46,-32,Not,-32,+6%,Not
2,Bennington County,-55,-24,Not,-46,+8%,-35
3,Caledonia County,-57,-29,Not,-32,+2%,Not
4,Chittenden County,-57,-39,-63,-48,+17,+1%
5,Essex County,Not,Not,Not,-42,Not,Not
6,Franklin County,-44,-25,Not,-36,+21,Not
7,Grand Isle County,Not,Not,-63,-57,Not,Not
8,Lamoille County,-76,-35,-40,-63,Not,Not
9,Orange County,-70,-14,-68,-28,+1%,Not
10,Orleans County,-58,-15,Not,-37,+0%,-46
11,Rutland County,-50,-10,-76,-47,+23,Not
12,Washington County,-56,-21,-47,-43,+23,Not
13,Windham County,-65,-27,Not,-50,+15,-36
14,Windsor County,-55,-40,-57,-43,+24,-24
