,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-40,-9,-49,-36,+13,+17
1,Accomack County,-24,-4%,Not,-19,+14,Not
2,Albemarle County,-48,-18,-61,-39,+25,-2%
3,Alexandria,-58,-16,-62,-46,+18,+9%
4,Alleghany County,-17,Not,-22,-25,Not,Not
5,Amelia County,-60,-21,Not,-43,Not,Not
6,Amherst County,-2%,-2%,Not,-23,+8%,Not
7,Appomattox County,-21,+12,Not,-20,Not,Not
8,Arlington County,-67,-23,-81,-51,+19,-21
9,Augusta County,-38,-6%,+13,-27,+20,-22
10,Bath County,Not,Not,Not,Not,Not,-73
11,Bedford County,-28,+3%,Not,-26,+20,Not
12,Bland County,Not,Not,-32,-49,Not,Not
13,Botetourt County,-58,-18,-31,-34,+14,Not
14,Bristol,-30,-12,Not,-30,Not,Not
15,Brunswick County,-42,Not,-57,-20,Not,Not
16,Buchanan County,-26,+0%,Not,-43,Not,Not
17,Buckingham County,-16,-12,Not,-42,Not,Not
18,Buena Vista,-40,-14,Not,-53,Not,Not
19,Campbell County,-26,+3%,Not,-32,+18,Not
20,Caroline County,-47,-21,-36,-23,+18,-68
21,Carroll County,-19,+7%,-29,-23,+4%,Not
22,Charles City County,Not,Not,Not,-41,Not,Not
23,Charlotte County,-7%,+17,Not,-38,Not,Not
24,Charlottesville,-68,-24,-49,-51,+15,-22
25,Chesapeake,-35,-15,-6%,-34,+12,+35
26,Chesterfield County,-38,-16,-37,-33,+13,+34
27,Clarke County,-45,-21,Not,-48,Not,Not
28,Colonial Heights,-44,-17,Not,-28,Not,Not
29,Covington,-40,-9%,Not,-42,Not,Not
30,Craig County,Not,Not,Not,-43,Not,Not
31,Culpeper County,-26,-6%,Not,-28,+19,Not
32,Cumberland County,-62,Not,Not,-38,Not,Not
33,Danville,-38,+2%,-28,-28,+15,Not
34,Dickenson County,-23,-16,Not,-46,Not,Not
35,Dinwiddie County,+34,-26,-46,-17,+14,Not
36,Emporia,-42,-1%,-30,-39,Not,Not
37,Essex County,-25,-8%,Not,-16,Not,Not
38,Fairfax,-61,-37,Not,-51,+3%,-36
39,Fairfax County,-51,-21,-50,-47,+19,+14
40,Falls Church,-67,-47,Not,-76,Not,Not
41,Fauquier County,-29,-27,Not,-25,+24,Not
42,Floyd County,-37,+6%,Not,-47,Not,Not
43,Fluvanna County,-79,-34,Not,-29,-1%,Not
44,Franklin,-22,-2%,-13,-33,Not,Not
45,Franklin County,-24,+2%,Not,-29,+18,Not
46,Frederick County,-35,-12,-29,-29,+12,-13
47,Fredericksburg,-50,-24,-64,-38,+0%,+10
48,Galax,-27,+12,Not,-44,Not,Not
49,Giles County,-26,+16,Not,-15,Not,Not
50,Gloucester County,-24,-8%,Not,-22,+18,Not
51,Goochland County,-44,-23,Not,-23,Not,Not
52,Grayson County,Not,Not,Not,-39,Not,Not
53,Greene County,-18,-18,Not,-29,Not,Not
54,Greensville County,Not,Not,-42,-37,Not,Not
55,Halifax County,-20,-7%,Not,-24,+12,Not
56,Hampton,-36,+6%,-5%,-34,+12,+49
57,Hanover County,-34,-14,-30,-31,+23,Not
58,Harrisonburg,-52,-26,-31,-46,+22,Not
59,Henrico County,-44,-16,-69,-38,+13,+36
60,Henry County,-20,+3%,Not,-26,+17,Not
61,Hopewell,-19,+0%,Not,-28,+11,Not
62,Isle of Wight County,-25,+9%,Not,-24,+20,Not
63,James City County,-59,+1%,Not,-43,+22,-2%
64,King George County,-38,-18,-33,-30,+0%,Not
65,King William County,-24,+3%,Not,-22,Not,Not
66,King and Queen County,Not,Not,Not,-37,Not,Not
67,Lancaster County,-23,+6%,Not,-29,Not,Not
68,Lee County,-34,+10,Not,-16,Not,Not
69,Lexington,-55,-21,Not,Not,Not,Not
70,Loudoun County,-49,-13,-82,-44,+17,-16
71,Louisa County,-16,-6%,Not,-25,+18,Not
72,Lunenburg County,Not,-4%,Not,-36,Not,Not
73,Lynchburg,-46,-9%,+9%,-39,+19,Not
74,Madison County,-48,-27,Not,-44,Not,Not
75,Manassas,-35,-2%,-56,-35,+25,Not
76,Manassas Park,-60,-11,Not,-39,Not,Not
77,Martinsville,-38,+8%,Not,-22,Not,Not
78,Mathews County,-62,+2%,Not,-38,Not,Not
79,Mecklenburg County,-22,+4%,-38,-20,+5%,+4%
80,Middlesex County,-43,+1%,Not,-36,Not,Not
81,Montgomery County,-52,-3%,-27,-40,+26,Not
82,Nelson County,-53,-3%,Not,-35,Not,Not
83,New Kent County,-38,-10,-36,-31,Not,Not
84,Newport News,-39,-5%,-26,-34,+11,+49
85,Norfolk,-42,-2%,-52,-35,+11,+5%
86,Northampton County,-32,-33,Not,-14,Not,Not
87,Northumberland County,-13,-17,Not,-29,Not,Not
88,Norton,-44,Not,Not,Not,Not,Not
89,Nottoway County,-30,+40,Not,-16,Not,Not
90,Orange County,-21,+4%,Not,-25,+11,Not
91,Page County,-29,-2%,Not,-33,Not,-29
92,Patrick County,-20,+19,Not,-26,Not,Not
93,Petersburg,-25,-3%,-8%,-24,+18,Not
94,Pittsylvania County,-14,+10,Not,-21,+17,Not
95,Poquoson,-16,-7%,Not,-54,Not,Not
96,Portsmouth,-17,-4%,+9%,-30,+10,+12
97,Powhatan County,-35,-32,Not,-34,+8%,Not
98,Prince Edward County,-34,-17,Not,-31,Not,Not
99,Prince George County,-25,-8%,-28,-23,+20,Not
100,Prince William County,-44,-18,-40,-39,+16,+35
101,Pulaski County,-16,+1%,Not,-32,+15,Not
102,Radford,-65,-13,Not,-33,Not,Not
103,Rappahannock County,Not,Not,Not,-37,Not,Not
104,Richmond,-53,-7%,-31,-39,+12,+34
105,Richmond County,-25,-25,Not,-33,Not,Not
106,Roanoke,-45,-5%,-32,-33,+10,+6%
107,Roanoke County,-30,-7%,Not,-35,+11,Not
108,Rockbridge County,-32,Not,-31,-28,Not,Not
109,Rockingham County,-33,-9%,-44,-31,+11,+25
110,Russell County,-37,-22,Not,-19,Not,Not
111,Salem,-30,-2%,Not,-30,-1%,Not
112,Scott County,-24,-9%,Not,-26,Not,Not
113,Shenandoah County,-29,-5%,-36,-37,+20,Not
114,Smyth County,-30,+4%,-14,-15,+4%,Not
115,Southampton County,-44,-1%,Not,-15,Not,Not
116,Spotsylvania County,-41,-7%,Not,-33,+12,Not
117,Stafford County,-26,-18,Not,-35,+14,+54
118,Staunton,-31,-15,Not,-30,+0%,Not
119,Suffolk,-33,+1%,+10,-29,+11,-16
120,Surry County,Not,Not,Not,-46,Not,Not
121,Sussex County,-47,+22,-52,-32,Not,Not
122,Tazewell County,-14,-8%,Not,-18,+11,Not
123,Virginia Beach,-40,-11,-29,-37,+13,+5%
124,Warren County,-24,-11,Not,-30,+21,Not
125,Washington County,-49,-9%,-33,-24,+18,Not
126,Waynesboro,-34,-24,Not,-28,-1%,Not
127,Westmoreland County,-41,+6%,Not,-26,Not,Not
128,Williamsburg,-72,-38,Not,-47,Not,Not
129,Winchester,-52,-22,Not,-36,+9%,-67
130,Wise County,-28,-17,Not,-27,+6%,Not
131,Wythe County,-43,-5%,-24,-23,-2%,Not
132,York County,-29,-7%,Not,-42,+26,-15
