,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-47,-10,-50,-41,+14,+3
1,Adams County,-38,+19,-17,-31,Not,Not
2,Asotin County,-24,Not,Not,-29,+7%,Not
3,Benton County,-46,-7%,-20,-36,+11,+24
4,Chelan County,-48,-13,-23,-45,+18,-21
5,Clallam County,-37,-13,-8%,-34,+16,+3%
6,Clark County,-40,-14,-31,-38,+13,+53
7,Cowlitz County,-31,+6%,-32,-32,+10,+28
8,Douglas County,-54,+9%,-37,-39,+17,Not
9,Ferry County,Not,Not,Not,-38,Not,Not
10,Franklin County,-32,-1%,-44,-34,+11,-16
11,Grant County,-32,+8%,-44,-28,+9%,-1%
12,Grays Harbor County,-37,-3%,-20,-39,+10,-9%
13,Island County,-34,-16,-45,-40,+20,+9%
14,Jefferson County,-58,-33,-44,-38,+2%,-8%
15,King County,-59,-19,-63,-48,+17,-5%
16,Kitsap County,-43,-8%,-60,-39,+13,-10
17,Kittitas County,-48,-7%,-13,-47,+18,-26
18,Klickitat County,-50,-2%,Not,-34,Not,Not
19,Lewis County,-42,+0%,-22,-30,+11,-11
20,Lincoln County,Not,Not,Not,-45,Not,Not
21,Mason County,-16,-7%,Not,-33,+17,+15
22,Okanogan County,-29,+7%,Not,-36,+9%,Not
23,Pacific County,-41,-14,Not,-33,Not,-26
24,Pend Oreille County,-57,-1%,Not,-38,Not,Not
25,Pierce County,-46,-5%,-24,-39,+13,-2%
26,San Juan County,-82,-42,-57,-39,Not,Not
27,Skagit County,-42,-5%,-27,-41,+13,+28
28,Skamania County,-65,Not,Not,-45,Not,-38
29,Snohomish County,-46,-15,-40,-44,+15,+18
30,Spokane County,-40,+1%,-38,-36,+11,+25
31,Stevens County,-26,+1%,Not,-28,+13,+18
32,Thurston County,-45,-7%,-29,-39,+13,-17
33,Walla Walla County,-39,-7%,-35,-39,+16,Not
34,Whatcom County,-52,-20,-62,-43,+14,-9%
35,Whitman County,-45,-24,Not,-35,+21,Not
36,Yakima County,-37,+8%,-28,-30,+10,-4%
