,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-38,-5,-39,-31,+10,+12
1,Barbour County,-49,-1%,Not,-20,Not,Not
2,Berkeley County,-34,-6%,-63,-32,+11,-18
3,Boone County,-40,+8%,Not,-28,Not,Not
4,Braxton County,-41,Not,-45,-47,Not,Not
5,Brooke County,-35,-4%,Not,-32,Not,Not
6,Cabell County,-50,-7%,-45,-37,+10,Not
7,Fayette County,-32,+3%,Not,-30,+7%,Not
8,Grant County,-46,+4%,Not,-43,Not,Not
9,Greenbrier County,-47,-14,Not,-40,+0%,Not
10,Hampshire County,-38,+0%,Not,-28,Not,Not
11,Hancock County,-39,-27,Not,-40,+10,Not
12,Hardy County,-53,-14,Not,-38,Not,Not
13,Harrison County,-45,-6%,-62,-30,+20,-43
14,Jackson County,-29,-18,-40,-21,Not,Not
15,Jefferson County,-33,-30,Not,-42,+23,-6%
16,Kanawha County,-43,-2%,-43,-33,+11,-38
17,Lewis County,-39,-18,-55,-36,Not,Not
18,Lincoln County,Not,Not,Not,-44,Not,Not
19,Logan County,-34,+2%,Not,-27,Not,Not
20,Marion County,-37,+4%,Not,-27,+21,Not
21,Marshall County,-35,-20,Not,-30,+1%,Not
22,Mason County,-39,+11,Not,-24,Not,Not
23,McDowell County,Not,+13,Not,-33,Not,Not
24,Mercer County,-36,+3%,-45,-26,+19,-42
25,Mineral County,-40,-4%,Not,-19,-2%,Not
26,Mingo County,-63,Not,Not,-49,Not,Not
27,Monongalia County,-52,-19,-47,-39,+26,-14
28,Monroe County,Not,Not,Not,-47,Not,Not
29,Morgan County,-32,-7%,Not,-33,Not,Not
30,Nicholas County,-37,+7%,Not,-32,Not,Not
31,Ohio County,-54,+14,-23,-37,+15,-36
32,Pleasants County,-50,Not,Not,-57,Not,Not
33,Pocahontas County,-74,Not,Not,-61,Not,-33
34,Preston County,-38,-16,Not,-25,Not,Not
35,Putnam County,-35,-6%,-25,-35,+18,Not
36,Raleigh County,-39,-12,-40,-28,+18,Not
37,Randolph County,-33,-1%,Not,-16,Not,Not
38,Ritchie County,-26,Not,Not,-52,Not,Not
39,Roane County,-8%,Not,Not,-44,Not,Not
40,Summers County,+14,Not,Not,-46,Not,Not
41,Taylor County,-18,+2%,Not,-19,Not,Not
42,Tucker County,Not,-14,Not,-37,Not,Not
43,Tyler County,Not,Not,Not,-40,Not,Not
44,Upshur County,-26,-19,Not,-23,Not,Not
45,Wayne County,-3%,-6%,Not,-30,+0%,Not
46,Webster County,Not,Not,Not,-49,Not,Not
47,Wetzel County,-42,-8%,Not,-22,Not,Not
48,Wirt County,Not,Not,Not,-53,Not,Not
49,Wood County,-45,-6%,Not,-26,+10,-6%
50,Wyoming County,-66,Not,Not,-42,Not,Not
