,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-47,-2,-34,-33,+13,+67
1,Adams County,-43,+1%,Not,-37,Not,Not
2,Ashland County,-38,-15,Not,-24,Not,Not
3,Barron County,-42,-5%,Not,-29,+19,Not
4,Bayfield County,-70,-28,Not,-48,Not,Not
5,Brown County,-50,-1%,-71,-36,+13,+10
6,Buffalo County,-48,-12,Not,-33,Not,Not
7,Burnett County,-35,+0%,Not,-37,Not,Not
8,Calumet County,-64,+1%,Not,-36,+27,+19
9,Chippewa County,-41,+9%,Not,-26,+21,Not
10,Clark County,-56,-7%,Not,-18,+17,Not
11,Columbia County,-49,+1%,-31,-31,+22,Not
12,Crawford County,-33,+3%,Not,-21,Not,Not
13,Dane County,-63,-12,-56,-39,+15,+42
14,Dodge County,-31,+1%,Not,-28,+11,-9%
15,Door County,-48,-19,Not,-29,-2%,Not
16,Douglas County,-41,-8%,Not,-32,+22,Not
17,Dunn County,-38,-6%,-23,-22,+20,Not
18,Eau Claire County,-58,-10,-9%,-29,+12,+18
19,Florence County,-73,Not,Not,Not,Not,Not
20,Fond du Lac County,-44,-9%,-19,-27,+11,+72
21,Forest County,-65,Not,Not,-49,Not,Not
22,Grant County,-39,+12,Not,-25,+20,Not
23,Green County,-45,+15,Not,-28,+23,Not
24,Green Lake County,-23,-5%,Not,-22,Not,Not
25,Iowa County,-39,+3%,Not,-31,+2%,Not
26,Iron County,-70,Not,Not,-42,Not,Not
27,Jackson County,-64,+85,-23,-29,Not,Not
28,Jefferson County,-42,+13,-46,-29,+11,-11
29,Juneau County,-53,-1%,-18,-30,+13,Not
30,Kenosha County,-49,-6%,-41,-32,+12,+41
31,Kewaunee County,-51,-9%,Not,-29,Not,Not
32,La Crosse County,-53,-10,-8%,-36,+14,+72
33,Lafayette County,-62,+10,Not,-25,Not,Not
34,Langlade County,-35,-13,Not,-26,Not,Not
35,Lincoln County,-56,+18,Not,-28,+13,Not
36,Manitowoc County,-42,+3%,Not,-28,+12,+81
37,Marathon County,-51,-10,Not,-32,+11,+11
38,Marinette County,-43,-13,Not,-27,+14,-15
39,Marquette County,-46,+5%,Not,-25,Not,Not
40,Milwaukee County,-47,-1%,-41,-36,+13,+49
41,Monroe County,-37,-11,-22,-29,+19,Not
42,Oconto County,-43,+1%,Not,-20,+16,-58
43,Oneida County,-51,-22,Not,-27,+18,-22
44,Outagamie County,-58,-7%,-43,-35,+13,+80
45,Ozaukee County,-50,-10,Not,-37,+28,+13
46,Pepin County,-36,Not,Not,-33,Not,Not
47,Pierce County,-50,+0%,Not,-33,+24,Not
48,Polk County,-33,+10,Not,-32,+22,+86
49,Portage County,-48,-5%,Not,-38,+24,+29
50,Price County,-36,-19,Not,-41,Not,Not
51,Racine County,-38,+0%,-13,-33,+12,+68
52,Richland County,-35,Not,Not,-23,Not,Not
53,Rock County,-41,+6%,-24,-33,+11,+84
54,Rusk County,-43,-17,Not,-42,Not,Not
55,Sauk County,-58,-1%,-36,-45,+23,+1%
56,Sawyer County,-42,-20,Not,-47,Not,Not
57,Shawano County,-44,-2%,Not,-33,+19,Not
58,Sheboygan County,-42,+8%,-4%,-31,+14,+85
59,St. Croix County,-43,-5%,-35,-32,+26,-38
60,Taylor County,-35,+10,Not,-16,Not,Not
61,Trempealeau County,-54,-3%,Not,-24,+16,Not
62,Vernon County,-50,-14,Not,-19,+4%,Not
63,Vilas County,-78,-26,Not,-39,Not,-46
64,Walworth County,-35,+12,Not,-34,+12,+54
65,Washburn County,-28,-40,Not,-28,Not,Not
66,Washington County,-34,+2%,-33,-32,+13,+92
67,Waukesha County,-48,+4%,-5%,-35,+14,+89
68,Waupaca County,-31,+13,Not,-24,+21,-25
69,Waushara County,-41,+7%,Not,-25,+4%,Not
70,Winnebago County,-45,-1%,-20,-30,+12,+14
71,Wood County,-33,-1%,Not,-25,+11,Not
