,Name,Retail,Groc,Transit,Workplace,Res,Park
0,US,-41,-2,-15,-30,+12,-25
1,Albany County,-40,-20,+8%,-32,+16,-4%
2,Big Horn County,-37,-7%,Not,-34,Not,Not
3,Campbell County,-40,+8%,-18,-28,+16,Not
4,Carbon County,-36,-23,-4%,-27,Not,Not
5,Converse County,-42,-9%,-35,-27,Not,Not
6,Crook County,Not,Not,Not,-29,Not,Not
7,Fremont County,-32,-8%,Not,-31,+13,Not
8,Goshen County,-26,-13,Not,-24,Not,Not
9,Hot Springs County,-64,-20,Not,Not,Not,-62
10,Johnson County,-35,-2%,Not,-37,Not,Not
11,Laramie County,-38,-2%,-16,-31,+12,+23
12,Lincoln County,-51,-16,Not,-27,Not,Not
13,Natrona County,-40,+2%,-42,-33,+12,+22
14,Park County,-50,+12,Not,-25,+5%,Not
15,Platte County,-21,-11,-38,-31,Not,Not
16,Sheridan County,-51,+5%,Not,-34,+12,Not
17,Sublette County,-70,-33,Not,-40,Not,Not
18,Sweetwater County,-35,+13,+15,-27,+15,Not
19,Teton County,-85,-53,-83,-66,Not,-63
20,Uinta County,-31,-11,+2%,-22,Not,Not
21,Washakie County,-28,-23,Not,-40,Not,Not
22,Weston County,-57,-19,Not,-43,Not,Not
