,Name,Retail,Groc,Transit,Workplace,Res,Park
0,UY,-52,-26,-49,-32,+19,-66
1,Artigas Department,-55,-27,-44,-13,-3%,-45
2,Canelones Department,-49,-29,-53,-30,+19,-63
3,Cerro Largo Department,-45,-13,-35,-14,+14,-60
4,Colonia Department,-55,-27,-69,-25,+17,-73
5,Durazno Department,-65,-27,-83,-8%,-2%,-53
6,Flores Department,-67,-31,Not,-13,Not,-50
7,Florida Department,-57,-13,-35,-16,+13,-56
8,Lavalleja Department,-47,-18,-52,-17,-2%,-65
9,Maldonado Department,-74,-50,-74,-47,+21,-86
10,Montevideo Department,-51,-20,-38,-38,+23,-55
11,Paysandú Department,-43,+10,-46,-19,+15,-63
12,Rivera Department,-50,-21,-50,-23,+14,-53
13,Rocha Department,-73,-63,-78,-27,+9%,-86
14,Río Negro Department,-42,-32,-42,-23,-3%,-65
15,Salto Department,-44,-18,-55,-16,+13,-54
16,San José Department,-33,-18,-35,-21,+17,-55
17,Soriano Department,-39,-29,Not,-16,+13,-65
18,Tacuarembó Department,-38,-15,-44,-12,+14,-62
19,Treinta y Tres Department,-55,-5%,-50,-15,Not,-65
